,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
54,-122.28,37.82,52.0,1170,235,701,233,16097.999999999998,87500.0,NEAR BAY
55,-122.28,37.82,52.0,945,243,576,220,14113.0,83100.0,NEAR BAY
56,-122.28,37.82,52.0,1238,288,622,259,15057.0,87500.0,NEAR BAY
57,-122.28,37.82,52.0,1489,335,728,244,8172.0,85300.0,NEAR BAY
58,-122.28,37.82,52.0,1387,341,1074,304,12171.0,80300.0,NEAR BAY
59,-122.29,37.82,2.0,158,43,94,57,25625.0,60000.0,NEAR BAY
60,-122.29,37.83,52.0,1121,211,554,187,33929.0,75700.0,NEAR BAY
61,-122.29,37.82,49.0,135,29,86,23,61182.99999999999,75000.0,NEAR BAY
62,-122.29,37.81,50.0,760,190,377,122,9011.0,86100.0,NEAR BAY
63,-122.3,37.81,52.0,1224,237,521,159,11910.0,76100.0,NEAR BAY
64,-122.3,37.81,48.0,828,182,392,133,25938.0,73500.0,NEAR BAY
65,-122.3,37.81,52.0,1010,209,604,187,11667.0,78400.0,NEAR BAY
66,-122.3,37.81,48.0,1455,354,788,332,8056.0,84400.0,NEAR BAY
67,-122.29,37.8,52.0,1027,244,492,147,26094.0,81300.0,NEAR BAY
68,-122.3,37.81,52.0,572,109,274,82,18516.0,85000.0,NEAR BAY
69,-122.29,37.81,46.0,2801,644,1823,611,9802.0,129200.0,NEAR BAY
70,-122.29,37.81,26.0,768,152,392,127,17719.0,82500.0,NEAR BAY
71,-122.29,37.81,46.0,935,297,582,277,7286.0,95200.0,NEAR BAY
72,-122.29,37.81,49.0,844,204,560,152,17500.0,75000.0,NEAR BAY
73,-122.29,37.81,46.0,12,4,18,7,4999.0,67500.0,NEAR BAY
74,-122.29,37.81,20.0,835,161,290,133,24830.0,137500.0,NEAR BAY
75,-122.28,37.81,17.0,1237,462,762,439,9241.0,177500.0,NEAR BAY
76,-122.28,37.81,36.0,2914,562,1236,509,24464.0,102100.0,NEAR BAY
77,-122.28,37.81,19.0,1207,243,721,207,11111.0,108300.0,NEAR BAY
78,-122.29,37.81,23.0,1745,374,1054,325,8026.0,112500.0,NEAR BAY
79,-122.28,37.8,38.0,684,176,344,155,20114.0,131300.0,NEAR BAY
80,-122.28,37.81,17.0,924,289,609,289,15000.0,162500.0,NEAR BAY
81,-122.27,37.81,52.0,210,56,183,56,11667.0,112500.0,NEAR BAY
82,-122.28,37.81,52.0,340,97,200,87,15208.0,112500.0,NEAR BAY
83,-122.28,37.81,52.0,386,164,346,155,8075.0,137500.0,NEAR BAY
84,-122.28,37.81,35.0,948,184,467,169,18088.0,118800.0,NEAR BAY
85,-122.28,37.81,52.0,773,143,377,115,24083.0,98200.0,NEAR BAY
86,-122.27,37.81,40.0,880,451,582,380,9770.0,118800.0,NEAR BAY
87,-122.27,37.81,10.0,875,348,546,330,7600.0,162500.0,NEAR BAY
88,-122.27,37.8,10.0,105,42,125,39,9722.0,137500.0,NEAR BAY
89,-122.27,37.8,52.0,249,78,396,85,12434.0,500001.0,NEAR BAY
90,-122.27,37.8,16.0,994,392,800,362,20938.0,162500.0,NEAR BAY
91,-122.28,37.8,52.0,215,87,904,88,8668.0,137500.0,NEAR BAY
92,-122.28,37.8,52.0,96,31,191,34,7500.0,162500.0,NEAR BAY
93,-122.27,37.79,27.0,1055,347,718,302,26354.000000000004,187500.0,NEAR BAY
94,-122.27,37.8,39.0,1715,623,1327,467,18477.0,179200.0,NEAR BAY
95,-122.26,37.8,36.0,5329,2477,3469,2323,20096.0,130000.0,NEAR BAY
96,-122.26,37.82,31.0,4596,1331,2048,1180,28344.999999999996,183800.0,NEAR BAY
97,-122.26,37.81,29.0,335,107,202,91,20062.000000000004,125000.0,NEAR BAY
98,-122.26,37.82,22.0,3682,1270,2024,1250,12185.0,170000.0,NEAR BAY
99,-122.26,37.82,37.0,3633,1085,1838,980,26104.0,193100.0,NEAR BAY
100,-122.25,37.81,29.0,4656,1414,2304,1250,24912.0,257800.0,NEAR BAY
101,-122.25,37.81,28.0,5806,1603,2563,1497,32176.999999999996,273400.0,NEAR BAY
102,-122.25,37.81,39.0,854,242,389,228,31250.0,237500.0,NEAR BAY
103,-122.25,37.81,52.0,2155,701,895,613,25795.0,350000.0,NEAR BAY
104,-122.26,37.81,34.0,5871,1914,2689,1789,28405.999999999996,335700.0,NEAR BAY
105,-122.24,37.82,52.0,1509,225,674,244,49306.0,313400.0,NEAR BAY
106,-122.24,37.81,52.0,2026,482,709,456,32727.0,268500.0,NEAR BAY
107,-122.25,37.81,52.0,1758,460,686,422,31690.999999999996,259400.0,NEAR BAY
108,-122.24,37.82,52.0,3481,751,1444,718,39000.0,275700.0,NEAR BAY
109,-122.25,37.82,28.0,3337,855,1520,802,39063.0,225000.0,NEAR BAY
110,-122.25,37.82,52.0,1424,289,550,253,50917.0,262500.0,NEAR BAY
111,-122.25,37.82,32.0,3809,1098,1806,1022,26429.0,218500.0,NEAR BAY
112,-122.25,37.82,26.0,3959,1196,1749,1217,30233.0,255000.0,NEAR BAY
113,-122.25,37.83,52.0,2376,559,939,519,31484.0,224100.0,NEAR BAY
114,-122.25,37.83,35.0,1613,428,675,422,34722.0,243100.0,NEAR BAY
115,-122.25,37.83,52.0,1279,287,534,291,31429.0,231600.0,NEAR BAY
116,-122.25,37.83,28.0,5022,1750,2558,1661,24234.0,218500.0,NEAR BAY
117,-122.25,37.83,52.0,4190,1105,1786,1037,30897.0,234100.0,NEAR BAY
118,-122.23,37.84,50.0,2515,399,970,373,58596.0,327600.0,NEAR BAY
119,-122.23,37.84,47.0,3175,454,1098,485,52868.00000000001,347600.0,NEAR BAY
120,-122.24,37.83,41.0,2576,406,794,376,59560.00000000001,366100.0,NEAR BAY
121,-122.24,37.85,37.0,334,54,98,47,49643.0,335000.0,NEAR BAY
122,-122.23,37.85,52.0,2800,411,1061,403,63434.0,373600.0,NEAR BAY
123,-122.24,37.84,52.0,3529,574,1177,555,51773.0,389500.0,NEAR BAY
124,-122.24,37.85,52.0,2612,365,901,367,72354.0,391100.0,NEAR BAY
125,-122.22,37.85,28.0,5287,1048,2031,956,54570.0,337300.0,NEAR BAY
126,-122.22,37.84,50.0,2935,473,1031,479,75000.0,295200.0,NEAR BAY
127,-122.21,37.84,44.0,3424,597,1358,597,60194.0,292300.0,NEAR BAY
128,-122.21,37.83,40.0,4991,674,1616,654,75544.0,411500.0,NEAR BAY
129,-122.2,37.84,30.0,2211,346,844,343,60666.0,311500.0,NEAR BAY
130,-122.21,37.84,34.0,3038,490,1140,496,70548.0,325900.0,NEAR BAY
131,-122.19,37.84,18.0,1617,210,533,194,116016.99999999999,392600.0,NEAR BAY
132,-122.2,37.84,35.0,2865,460,1072,443,74882.0,319300.0,NEAR BAY
133,-122.21,37.83,34.0,5065,788,1627,766,68976.0,333300.0,NEAR BAY
134,-122.19,37.83,28.0,1326,184,463,190,82049.0,335200.0,NEAR BAY
135,-122.2,37.83,26.0,1589,223,542,211,84010.0,351200.0,NEAR BAY
136,-122.19,37.83,29.0,1791,271,661,269,68538.0,368900.0,NEAR BAY
137,-122.19,37.82,32.0,1835,264,635,263,83170.0,365900.0,NEAR BAY
138,-122.2,37.82,37.0,1229,181,420,176,70175.0,366700.0,NEAR BAY
139,-122.2,37.82,39.0,3770,534,1265,500,63301.99999999999,362800.0,NEAR BAY
140,-122.18,37.81,30.0,292,38,126,52,63624.0,483300.0,NEAR BAY
141,-122.21,37.82,52.0,2375,333,813,350,70549.0,331400.0,NEAR BAY
142,-122.2,37.81,45.0,2964,436,1067,426,67851.0,323500.0,NEAR BAY
143,-122.21,37.8,50.0,2833,605,1260,552,28929.0,216700.0,NEAR BAY
144,-122.21,37.8,38.0,2254,535,951,487,30812.0,233100.0,NEAR BAY
145,-122.21,37.81,52.0,1389,212,510,224,52402.0,296400.0,NEAR BAY
146,-122.22,37.81,52.0,1971,335,765,308,65217.0,273700.0,NEAR BAY
147,-122.22,37.8,52.0,2183,465,1129,460,32632.0,227700.0,NEAR BAY
148,-122.22,37.8,52.0,2286,464,1073,441,30298.0,199600.0,NEAR BAY
149,-122.22,37.8,52.0,2721,541,1185,515,45428.0,239800.0,NEAR BAY
150,-122.22,37.81,52.0,2024,339,756,340,40720.0,270100.0,NEAR BAY
151,-122.22,37.81,52.0,2944,536,1034,521,53509.0,302100.0,NEAR BAY
152,-122.23,37.8,52.0,2033,486,787,459,31603.0,269500.0,NEAR BAY
153,-122.23,37.81,52.0,1433,229,612,213,47708.00000000001,314700.0,NEAR BAY
154,-122.22,37.81,52.0,2927,402,1021,380,81564.0,390100.0,NEAR BAY
155,-122.23,37.81,52.0,2315,292,861,258,88793.0,410300.0,NEAR BAY
156,-122.24,37.81,52.0,2485,313,953,327,68591.0,352400.0,NEAR BAY
157,-122.24,37.81,52.0,1490,238,634,256,60302.0,287300.0,NEAR BAY
158,-122.23,37.81,52.0,2814,365,878,352,75080.0,348700.0,NEAR BAY
159,-122.24,37.81,52.0,2093,550,918,483,27477.0,243800.0,NEAR BAY
160,-122.24,37.8,52.0,888,168,360,175,21944.0,211500.0,NEAR BAY
161,-122.25,37.8,52.0,2087,510,1197,488,30149.0,218400.0,NEAR BAY
162,-122.24,37.81,52.0,2513,502,1048,518,36750.0,269900.0,NEAR BAY
163,-122.25,37.81,46.0,3232,835,1373,747,32250.0,218800.0,NEAR BAY
164,-122.25,37.8,42.0,4120,1065,1715,1015,29345.0,225000.0,NEAR BAY
165,-122.25,37.8,43.0,2364,792,1359,722,21429.0,250000.0,NEAR BAY
166,-122.25,37.8,41.0,1471,469,1062,413,16121.0,171400.0,NEAR BAY
167,-122.25,37.8,29.0,2468,864,1335,773,13929.0,193800.0,NEAR BAY
168,-122.24,37.79,27.0,1632,492,1171,429,23173.0,125000.0,NEAR BAY
169,-122.25,37.79,45.0,1786,526,1475,460,17772.0,97500.0,NEAR BAY
170,-122.25,37.79,50.0,629,188,742,196,26458.0,125000.0,NEAR BAY
171,-122.25,37.79,52.0,1339,391,1086,363,21810.0,138800.0,NEAR BAY
172,-122.25,37.8,36.0,1678,606,1645,543,22303.0,116700.0,NEAR BAY
173,-122.25,37.8,43.0,2344,647,1710,644,16504.0,151800.0,NEAR BAY
174,-122.24,37.8,52.0,996,228,731,228,22697.0,127000.0,NEAR BAY
175,-122.24,37.8,52.0,1591,373,1118,347,21563.0,128600.0,NEAR BAY
176,-122.24,37.8,52.0,1586,398,1006,335,21347.999999999996,140600.0,NEAR BAY
177,-122.24,37.8,47.0,2046,588,1213,554,26292.0,182700.0,NEAR BAY
178,-122.23,37.8,52.0,1192,289,772,257,23833.000000000004,146900.0,NEAR BAY
179,-122.24,37.8,52.0,1803,420,1321,401,29570.0,122800.0,NEAR BAY
180,-122.24,37.8,49.0,2838,749,1487,677,25238.0,169300.0,NEAR BAY
181,-122.23,37.8,52.0,783,184,488,186,19375.0,126600.0,NEAR BAY
182,-122.23,37.8,51.0,1590,414,949,392,19028.0,127900.0,NEAR BAY
183,-122.23,37.8,50.0,1746,480,1149,415,22500.0,123500.0,NEAR BAY
184,-122.23,37.8,52.0,1252,299,844,280,23929.0,111900.0,NEAR BAY
185,-122.23,37.79,43.0,5963,1344,4367,1231,21917.0,112800.0,NEAR BAY
186,-122.23,37.79,52.0,1783,395,1659,412,29357.000000000004,107900.0,NEAR BAY
187,-122.23,37.79,30.0,999,264,1011,263,18854.0,137500.0,NEAR BAY
188,-122.24,37.79,39.0,1469,431,1464,389,21638.0,105500.0,NEAR BAY
189,-122.24,37.79,47.0,1372,395,1237,303,21250.0,95500.0,NEAR BAY
190,-122.24,37.79,52.0,674,180,647,168,33750.0,116100.0,NEAR BAY
191,-122.24,37.79,43.0,1626,376,1284,357,22542.0,112200.0,NEAR BAY
192,-122.25,37.79,51.0,175,43,228,55,21000.0,75000.0,NEAR BAY
193,-122.25,37.79,39.0,461,129,381,123,16000.0,112500.0,NEAR BAY
194,-122.25,37.79,52.0,902,237,846,227,36250.0,125000.0,NEAR BAY
195,-122.26,37.8,20.0,2373,779,1659,676,16929.0,115000.0,NEAR BAY
196,-122.22,37.77,52.0,391,128,520,138,16471.0,95000.0,NEAR BAY
197,-122.22,37.77,52.0,1137,301,866,259,25900.0,96400.0,NEAR BAY
198,-122.23,37.77,52.0,769,206,612,183,25700.0,72000.0,NEAR BAY
199,-122.23,37.78,52.0,472,146,415,126,26429.0,71300.0,NEAR BAY
200,-122.23,37.78,52.0,862,215,994,213,30257.0,80800.0,NEAR BAY
201,-122.22,37.78,50.0,1920,530,1525,477,14886.0,128800.0,NEAR BAY
202,-122.23,37.78,43.0,1420,472,1506,438,19338.0,112500.0,NEAR BAY
203,-122.23,37.78,52.0,986,258,1008,255,14844.0,119400.0,NEAR BAY
204,-122.23,37.78,44.0,2340,825,2813,751,16009.0,118100.0,NEAR BAY
205,-122.23,37.79,48.0,1696,396,1481,343,20375.0,122500.0,NEAR BAY
206,-122.23,37.79,49.0,1175,217,859,219,22930.0,106300.0,NEAR BAY
207,-122.22,37.79,37.0,2343,574,1608,523,21494.0,132500.0,NEAR BAY
208,-122.23,37.79,30.0,610,145,425,140,16197.999999999998,122700.0,NEAR BAY
209,-122.23,37.79,40.0,930,199,564,184,13281.0,113300.0,NEAR BAY
210,-122.22,37.79,44.0,1487,314,961,272,35156.0,109500.0,NEAR BAY
211,-122.22,37.79,52.0,3424,690,2273,685,39048.0,164700.0,NEAR BAY
212,-122.21,37.79,52.0,762,190,600,195,30893.0,125000.0,NEAR BAY
213,-122.22,37.79,46.0,2366,575,1647,527,26042.0,124700.0,NEAR BAY
214,-122.22,37.79,49.0,1826,450,1201,424,25000.0,136700.0,NEAR BAY
215,-122.22,37.79,38.0,3049,711,2167,659,27969.0,141700.0,NEAR BAY
216,-122.2,37.79,29.0,1640,376,939,340,28321.0,150000.0,NEAR BAY
217,-122.21,37.79,47.0,1543,307,859,292,29583.0,138800.0,NEAR BAY
218,-122.21,37.79,34.0,2364,557,1517,516,28365.0,139200.0,NEAR BAY
219,-122.21,37.79,35.0,1745,409,1143,386,28750.0,143800.0,NEAR BAY
220,-122.21,37.8,39.0,2003,500,1109,464,30682.0,156500.0,NEAR BAY
221,-122.21,37.8,39.0,2018,447,1221,446,30757.0,151000.0,NEAR BAY
222,-122.2,37.8,43.0,3045,499,1115,455,49559.0,273000.0,NEAR BAY
223,-122.2,37.8,52.0,1547,293,706,268,47721.0,217100.0,NEAR BAY
224,-122.21,37.8,52.0,3519,711,1883,706,34861.0,187100.0,NEAR BAY
225,-122.2,37.8,41.0,2070,354,804,340,51184.0,239600.0,NEAR BAY
226,-122.21,37.8,48.0,1321,263,506,252,40977.0,229700.0,NEAR BAY
227,-122.19,37.8,48.0,1694,259,610,238,47440.0,257300.0,NEAR BAY
228,-122.19,37.8,46.0,1938,341,768,332,42727.00000000001,246900.0,NEAR BAY
229,-122.19,37.79,50.0,968,195,462,184,29844.0,179900.0,NEAR BAY
230,-122.2,37.79,40.0,1060,256,667,235,41739.0,169600.0,NEAR BAY
231,-122.2,37.8,46.0,2041,405,1059,399,38487.0,203300.0,NEAR BAY
232,-122.19,37.8,52.0,1813,271,637,277,40114.0,263400.0,NEAR BAY
233,-122.19,37.79,45.0,2718,451,1106,454,46563.0,231800.0,NEAR BAY
234,-122.19,37.79,28.0,3144,761,1737,669,29297.0,140500.0,NEAR BAY
235,-122.2,37.79,35.0,1802,459,1009,390,23036.0,126000.0,NEAR BAY
236,-122.2,37.79,49.0,882,195,737,210,26667.0,122000.0,NEAR BAY
237,-122.2,37.79,44.0,1621,452,1354,491,26190.000000000004,134700.0,NEAR BAY
238,-122.21,37.79,45.0,2115,533,1530,474,24167.0,139400.0,NEAR BAY
239,-122.2,37.79,45.0,2021,528,1410,480,27788.0,115400.0,NEAR BAY
240,-122.21,37.78,46.0,2239,508,1390,569,27352.0,137300.0,NEAR BAY
241,-122.21,37.78,52.0,1477,300,1065,269,18472.0,137000.0,NEAR BAY
242,-122.21,37.78,52.0,1056,224,792,245,26583.0,142600.0,NEAR BAY
243,-122.21,37.78,49.0,898,244,779,245,30536.0,137500.0,NEAR BAY
244,-122.22,37.78,44.0,2968,710,2269,610,23906.0,111700.0,NEAR BAY
245,-122.21,37.78,43.0,1702,460,1227,407,17188.0,126800.0,NEAR BAY
246,-122.21,37.78,47.0,881,248,753,241,26250.0,111300.0,NEAR BAY
247,-122.22,37.77,40.0,494,114,547,135,28015.0,114800.0,NEAR BAY
248,-122.22,37.78,50.0,1776,473,1807,440,17276.0,102300.0,NEAR BAY
249,-122.22,37.78,44.0,1678,514,1700,495,20801.0,131900.0,NEAR BAY
250,-122.22,37.78,51.0,1637,463,1543,393,24890.0,119100.0,NEAR BAY
251,-122.21,37.76,52.0,1420,314,1085,300,17546.0,80600.0,NEAR BAY
252,-122.21,37.77,52.0,591,173,353,137,40904.0,80600.0,NEAR BAY
253,-122.21,37.77,52.0,745,153,473,149,26765.0,88800.0,NEAR BAY
254,-122.2,37.77,49.0,2272,498,1621,483,24338.000000000004,102400.0,NEAR BAY
255,-122.21,37.77,46.0,1234,375,1183,354,23309.000000000004,98700.0,NEAR BAY
256,-122.21,37.77,43.0,1017,328,836,277,22604.000000000004,100000.0,NEAR BAY
257,-122.19,37.77,42.0,932,254,900,263,18039.0,92300.0,NEAR BAY
258,-122.2,37.77,39.0,2689,597,1888,537,22562.000000000004,94800.0,NEAR BAY
259,-122.2,37.77,41.0,1547,415,1024,341,20562.0,102000.0,NEAR BAY
260,-122.2,37.78,52.0,2300,443,1225,423,35398.0,158400.0,NEAR BAY
261,-122.2,37.78,39.0,1752,399,1071,376,31166.999999999996,121600.0,NEAR BAY
262,-122.2,37.78,50.0,1867,403,1128,378,25400.999999999996,129100.0,NEAR BAY
263,-122.2,37.77,43.0,2430,502,1537,484,28980.0,121400.0,NEAR BAY
264,-122.21,37.78,44.0,1729,414,1240,393,23125.0,102800.0,NEAR BAY
265,-122.19,37.78,52.0,1026,180,469,168,28750.0,160000.0,NEAR BAY
266,-122.19,37.77,52.0,2170,428,1086,425,33715.0,143900.0,NEAR BAY
267,-122.19,37.77,52.0,2329,445,1144,417,35114.0,151200.0,NEAR BAY
268,-122.19,37.78,52.0,2492,415,1109,375,43125.0,164400.0,NEAR BAY
269,-122.19,37.78,52.0,2198,397,984,369,32200.000000000004,156500.0,NEAR BAY
270,-122.18,37.78,33.0,142,31,575,47,38750.0,225000.0,NEAR BAY
271,-122.19,37.78,49.0,1183,205,496,209,52328.0,174200.0,NEAR BAY
272,-122.19,37.78,52.0,1070,193,555,190,37262.0,166900.0,NEAR BAY
273,-122.2,37.78,45.0,1766,332,869,327,45893.0,163500.0,NEAR BAY
274,-122.18,37.79,39.0,617,95,236,106,52577.99999999999,253000.0,NEAR BAY
275,-122.18,37.79,41.0,1411,233,626,214,70875.0,240700.0,NEAR BAY
276,-122.18,37.79,46.0,2109,387,922,329,39712.0,208100.0,NEAR BAY
277,-122.19,37.79,47.0,1229,243,582,256,29514.0,198100.0,NEAR BAY
278,-122.19,37.79,50.0,954,217,546,201,26667.0,172800.0,NEAR BAY
279,-122.18,37.81,37.0,1643,262,620,266,54446.0,336700.0,NEAR BAY
280,-122.18,37.8,34.0,1355,195,442,195,62838.0,318200.0,NEAR BAY
281,-122.18,37.8,23.0,2317,336,955,328,67527.0,285800.0,NEAR BAY
282,-122.13,37.77,24.0,2459,317,916,324,70712.0,293000.0,NEAR BAY
283,-122.16,37.79,22.0,12842,2048,4985,1967,59849.0,371000.0,NEAR BAY
284,-122.17,37.78,42.0,1524,260,651,267,36875.0,157300.0,NEAR BAY
285,-122.17,37.77,30.0,3326,746,1704,703,28750.0,135300.0,NEAR BAY
286,-122.18,37.78,43.0,1985,440,1085,407,34205.0,136700.0,NEAR BAY
287,-122.18,37.78,50.0,1642,322,713,284,32984.0,160700.0,NEAR BAY
288,-122.17,37.78,49.0,893,177,468,181,38750.0,140600.0,NEAR BAY
289,-122.17,37.78,52.0,653,128,296,121,41750.0,144000.0,NEAR BAY
291,-122.16,37.77,48.0,977,194,446,180,47708.00000000001,156300.0,NEAR BAY
292,-122.16,37.77,45.0,2324,397,968,384,35739.0,176000.0,NEAR BAY
293,-122.16,37.77,39.0,1583,349,857,316,30958.0,145800.0,NEAR BAY
294,-122.17,37.77,39.0,1612,342,912,322,33958.0,141900.0,NEAR BAY
295,-122.17,37.77,31.0,2424,533,1360,452,18710.0,90700.0,NEAR BAY
296,-122.17,37.76,41.0,1594,367,1074,355,19356.0,90600.0,NEAR BAY
297,-122.17,37.76,47.0,2118,413,965,382,21842.0,107900.0,NEAR BAY
298,-122.18,37.76,37.0,1575,358,933,320,22917.0,107000.0,NEAR BAY
299,-122.17,37.76,38.0,1764,397,987,354,24333.0,98200.0,NEAR BAY
300,-122.18,37.76,50.0,1187,261,907,246,19479.0,89500.0,NEAR BAY
301,-122.18,37.76,52.0,754,175,447,165,39063.0,93800.0,NEAR BAY
302,-122.18,37.76,49.0,2308,452,1299,451,18407.0,96700.0,NEAR BAY
303,-122.18,37.77,27.0,909,236,396,157,20785.999999999996,97500.0,NEAR BAY
304,-122.18,37.77,42.0,1180,257,877,268,28125.0,97300.0,NEAR BAY
305,-122.18,37.76,43.0,2018,408,1111,367,18913.0,91200.0,NEAR BAY
306,-122.19,37.76,49.0,1368,282,790,269,17056.0,91400.0,NEAR BAY
307,-122.18,37.77,52.0,2744,547,1479,554,22768.0,96200.0,NEAR BAY
308,-122.18,37.77,51.0,2107,471,1173,438,32552.0,120100.0,NEAR BAY
309,-122.18,37.77,52.0,1748,362,1029,366,20556.0,100000.0,NEAR BAY
310,-122.19,37.76,52.0,2024,391,1030,350,24659.0,94700.0,NEAR BAY
311,-122.2,37.76,47.0,1116,259,826,279,17500.0,85700.0,NEAR BAY
312,-122.19,37.77,41.0,2036,510,1412,454,20469.0,89300.0,NEAR BAY
313,-122.19,37.77,45.0,1852,393,1132,349,27159.0,101400.0,NEAR BAY
314,-122.19,37.76,41.0,921,207,522,159,12083.0,72500.0,NEAR BAY
315,-122.19,37.76,45.0,995,238,630,237,19250.0,74100.0,NEAR BAY
316,-122.2,37.75,36.0,606,132,531,133,15809.0,70000.0,NEAR BAY
317,-122.2,37.76,37.0,2680,736,1925,667,14097.0,84600.0,NEAR BAY
318,-122.19,37.76,38.0,1493,370,1144,351,7683.0,81800.0,NEAR BAY
319,-122.19,37.75,19.0,2207,565,1481,520,13193.999999999998,81400.0,NEAR BAY
320,-122.19,37.75,28.0,856,189,435,162,8012.0,81800.0,NEAR BAY
321,-122.19,37.76,26.0,1293,297,984,303,19479.0,85800.0,NEAR BAY
322,-122.19,37.74,36.0,847,212,567,159,11765.000000000002,87100.0,NEAR BAY
323,-122.18,37.74,42.0,541,154,380,123,23456.0,83500.0,NEAR BAY
324,-122.19,37.73,44.0,1066,253,825,244,21538.0,79700.0,NEAR BAY
325,-122.19,37.74,43.0,707,147,417,155,25139.0,83400.0,NEAR BAY
